file_name,Abnormal_detected,AI-Classification,ai_probability,Failed_Validation,explanation,contributing_components
ai_generated_note_1.txt,Yes,human_created,0.0014,Yes,Low AI probability (0.1%); Potentially invalid drug: adequate; AI-associated phrase detected: 'Furthermore'; AI-associated phrase detected: 'Additionally',"Style, Medical_Entities"
ai_generated_note_2.txt,Yes,human_created,0.0002,Yes,Low AI probability (0.0%); AI-associated phrase detected: 'Furthermore'; AI-associated phrase detected: 'Moreover'; AI-associated phrase detected: 'Additionally',Style
dangerous_dosages.txt,Yes,AIText,0.7884,Yes,High AI probability (78.8%); Potentially dangerous dosage: metformin 5000.0mg (max single dose typically 1000mg); Potentially dangerous dosage: lisinopril 200.0mg (max single dose typically 80mg); Potentially invalid drug: oxycodone,"AI_Detection, Consistency, Style, Medical_Entities"
date_inconsistencies.txt,Yes,human_created,0.0017,Yes,Low AI probability (0.2%); Future date detected: 03/25/2026; Future date detected: 04/09/2026; Future date detected: 04/24/2026,Consistency
drug_interactions.txt,Yes,human_created,0.0148,Yes,"Low AI probability (1.5%); Potentially dangerous combination: {'warfarin'} with {'naproxen', 'ibuprofen', 'aspirin'} - Blood thinner with NSAID - bleeding risk; Unusually uniform sentence lengths (variance: 4.02) - human writing typically shows more variation","Style, Medical_Entities"
invalid_codes.txt,Yes,human_created,0.0154,Yes,Low AI probability (1.5%); Invalid NPI number: 1234567890; Unusually uniform sentence lengths (variance: 7.14) - human writing typically shows more variation,"Style, Medical_Entities"
legitimate_note_1.txt,Yes,human_created,0.0006,Yes,Low AI probability (0.1%); Potentially invalid drug: benzonatate,Medical_Entities
legitimate_note_2.txt,Yes,human_created,0.0002,Yes,Low AI probability (0.0%); Invalid NPI number: 1982735462,Medical_Entities
legitimate_note_3.txt,Yes,human_created,0.0002,Yes,Low AI probability (0.0%); Potentially invalid drug: immediate; Invalid NPI number: 1629384756,Medical_Entities
mixed_formatting.txt,Yes,human_created,0.0007,Yes,Low AI probability (0.1%); Potentially invalid drug: template; Potentially invalid drug: immediate,Medical_Entities
terminology_errors.txt,Yes,human_created,0.0002,Yes,Low AI probability (0.0%); Informal language detected: 'gonna' (unusual in medical documents),Consistency
discharge_summary_001.txt,Yes,human_created,0.0206,Yes,Low AI probability (2.1%),Consistency
discharge_summary_002.txt,Yes,human_created,0.0379,Yes,Low AI probability (3.8%),Consistency
discharge_summary_003.txt,Yes,human_created,0.1792,Yes,Low AI probability (17.9%),Consistency
discharge_summary_004.txt,Yes,AIText,0.4622,Yes,High AI probability (46.2%); Phrase repeated 6 times: 'diagnosis code icd',"AI_Detection, Consistency, Style"
discharge_summary_005.txt,Yes,AIText,0.2722,Yes,High AI probability (27.2%),"AI_Detection, Consistency"
